Genotype ,PLOT ID,REP,Fresh Weight,Leaf Area,SPAD 1,SPAD 2 ,SPAD 3,Field Location,Growth Stage,Source
PHK76 x LH145,4119,2,7.5,333.3,44.3,53.4,54.2,HIPS,1,GH
B73 x Mo17,4122,1,6.2,278,51.4,49.1,54.7,HIPS,1,GH
B73 x Mo17,4122,2,7.65,302.3,54,51.5,55.4,HIPS,1,GH
B73 x PHZ51,4124,1,4.5,137.7,48.1,45.3,59.6,HIPS,1,GH
B73 x PHZ51,4124,2,8.55,331,48.9,54.5,50.8,HIPS,1,GH
WF9 x H95,4127,1,7.9,334.6,50.1,53.3,53.1,HIPS,1,GH
WF9 x H95,4127,2,8.9,384.4,48.9,57.9,57,HIPS,1,GH
F42 x Mo17,4128,1,8.5,379.5,50.4,55.4,62.6,HIPS,1,GH
F42 x Mo17,4128,2,9.55,370.7,50.4,54.1,59.5,HIPS,1,GH
B37 x H95,4129,1,5.85,250.3,46.8,50.5,49.6,HIPS,1,GH
B37 x H95,4129,2,7.7,300.3,50.7,53.8,52.8,HIPS,1,GH
B14A x Mo17,4131,1,10.55,394.8,50,56.4,57.9,HIPS,1,GH
B14A x Mo17,4131,2,9.9,380,58.2,52.7,57.2,HIPS,1,GH
PHZ51 x LH145,4135,1,6.55,269.5,55.1,55.3,54.9,HIPS,1,GH
PHZ51 x LH145,4135,2,6.7,266.4,48.9,52,55.1,HIPS,1,GH
B37 x Mo17,4154,1,5.15,231.6,47,51.4,52.9,HIPS,1,GH
B37 x Mo17,4154,2,5.5,244,48.1,46.2,47.2,HIPS,1,GH
LH123HT x 3IIH6,4155,1,9.55,345,53.7,60.1,58,HIPS,1,GH
LH123HT x 3IIH6,4155,2,6.6,249.4,48.4,54.6,49.2,HIPS,1,GH
B84 x 3IIH6,4158,1,7.2,243.5,57.3,54.8,53.9,HIPS,1,GH
B84 x 3IIH6,4158,2,8.1,283,61.4,55.3,53.8,HIPS,1,GH
B73 x 3IIH6,4159,1,8.4,304.7,47.3,52.9,54.8,HIPS,1,GH
B73 x 3IIH6,4159,2,7.75,311.3,58,50,56.4,HIPS,1,GH
F42 x OH43,4167,1,8.3,316.4,53.2,53,59.6,HIPS,1,GH
F42 x OH43,4167,2,7.8,311.4,59.7,49.6,59.4,HIPS,1,GH
PHK76 x LH145,4204,1,5.1,216.7,53.7,56.3,56.1,HIPS,1,GH
PHK76 x LH145,4204,2,6.4,286.9,45.9,48.3,55.5,HIPS,1,GH
PHK76 x LH82,4205,1,4.1,208.2,44.9,43.7,45.4,HIPS,1,GH
PHK76 x LH82,4205,2,6.85,278.5,51.9,49.1,51.5,HIPS,1,GH
