PLOT ID,Rep,Growth_Stage,Dry weight
2109,1,2,2.28
2321,2,2,2.1
2180,2,2,1.89
2378,1,2,2.73
1052,1,2,2.47
2311,2,2,1.65
2241,1,2,1.85
2242,1,2,2.59
2068,1,2,1.94
1289,1,2,2.11
1056,1,2,1.62
1056,2,2,1.11
1091,1,2,2.23
1239,1,2,1.76
6116,2,2,2.46
2181,1,2,2.61
1252,2,2,1.24
1077,1,2,2.15
1077,2,2,1.96
6116,1,2,2.84
1157,1,2,2.03
