Genotype ,PLOT ID,Rep,Field Location,Growth Stage,Fresh Weight,Leaf Area
B73 x 3IIH6,5261,1,HIPS,2,,
B73 x 3IIH6,5261,2,HIPS,2,9.18,445.5
B37 x H95,5268,1,HIPS,2,5.26,313.6
B37 x H95,5268,2,HIPS,2,8.13,430.9
F42 x Mo17,5270,1,HIPS,2,10.58,481.9
F42 x Mo17,5270,2,HIPS,2,6.66,364.9
B73 x PHZ51,5272,1,HIPS,2,7.22,408.3
B73 x PHZ51,5272,2,HIPS,2,7.45,399.7
PHK76 x 3IIH6,6110,1,HIPS,2,4.47,268.4
PHK76 x 3IIH6,6110,2,HIPS,2,7.01,353.6
B73 x PHZ51,6111,1,HIPS,2,6.81,357.8
B73 x PHZ51,6111,2,HIPS,2,7.42,392.4
WF9 x H95,6116,1,HIPS,2,10.33,544.5
WF9 x H95,6116,2,HIPS,2,8.82,495.9
PHJ40 x LH82,6122,1,HIPS,2,4.88,321
PHJ40 x LH82,6122,2,HIPS,2,6.11,364.3
F42 x OH43,6127,1,HIPS,2,10.24,492.9
F42 x OH43,6127,2,HIPS,2,7,395.8
LH123HT x 3IIH6,6128,1,HIPS,2,8.43,396.7
LH123HT x 3IIH6,6128,2,HIPS,2,8.69,406.2
PHZ51 x LH145,6132,1,HIPS,2,5.02,296
PHZ51 x LH145,6132,2,HIPS,2,6.45,362.9
B84 x 3IIH6,6134,1,HIPS,2,6.08,326.8
B84 x 3IIH6,6134,2,HIPS,2,8.02,417.9
F42 x Mo17,6137,1,HIPS,2,,
F42 x Mo17,6137,2,HIPS,2,,
B14A x Mo17,6140,1,HIPS,2,8.23,295.4
B14A x Mo17,6140,2,HIPS,2,8.23,429.8
PHK76 x LH145,6143,1,HIPS,2,4.94,322.5
PHK76 x LH145,6143,2,HIPS,2,5.27,331.4
B73 x 3IIH6,6149,1,HIPS,2,5.79,313.7
B73 x 3IIH6,6149,2,HIPS,2,9.29,421.9
B37 x OH43,6153,1,HIPS,2,8.02,444.9
B37 x OH43,6153,2,HIPS,2,7.28,425.9
B37 x Mo17,6155,1,HIPS,2,8.38,415.7
B37 x Mo17,6155,2,HIPS,2,7.27,390.6
B37 x H95,6158,1,HIPS,2,8.63,464.9
B37 x H95,6158,2,HIPS,2,6.75,400.9
2FACC x 3IIH6,6159,1,HIPS,2,6.51,313.8
2FACC x 3IIH6,6159,2,HIPS,2,5.22,267.9
B73 x Mo17,6162,1,HIPS,2,9.62,487.5
B73 x Mo17,6162,2,HIPS,2,9.44,492.2
PHK76 x LH82,6170,1,HIPS,2,,
PHK76 x LH82,6170,2,HIPS,2,,
PHK76 x LH82,6174,1,HIPS,2,6.91,433.1
PHK76 x LH82,6174,2,HIPS,2,7.41,414.3
PHJ40 x LH82,6184,1,HIPS,2,5.55,337.1
PHJ40 x LH82,6184,2,HIPS,2,5.13,308.7
PHK76 x LH145,6210,1,HIPS,2,6.67,384.4
PHK76 x LH145,6210,2,HIPS,2,5.67,351.2
PHK76 x 3IIH6,6219,1,HIPS,2,7.64,414.9
PHK76 x 3IIH6,6219,2,HIPS,2,6.33,397.5
F42 x Mo17,6223,1,HIPS,2,7.04,404
F42 x Mo17,6223,2,HIPS,2,6.66,380.1
2FACC x 3IIH6,6226,1,HIPS,2,6.05,339.5
2FACC x 3IIH6,6226,2,HIPS,2,8.2,398.8
B73 x Mo17,6238,1,HIPS,2,8.57,466.4
B73 x Mo17,6238,2,HIPS,2,7.16,391.7
B84 x 3IIH6,6241,1,HIPS,2,5.68,144.9
B84 x 3IIH6,6241,2,HIPS,2,7.83,302.5
B73 x PHZ51,6247,1,HIPS,2,7,388.6
B73 x PHZ51,6247,2,HIPS,2,5.62,327.6
LH123HT x 3IIH6,6255,1,HIPS,2,4.42,325.1
LH123HT x 3IIH6,6255,2,HIPS,2,4.39,248.8
B14A x Mo17,6261,1,HIPS,2,6.25,363.7
B14A x Mo17,6261,2,HIPS,2,5.67,325.6
B37 x Mo17,6262,1,HIPS,2,6.41,360.9
B37 x Mo17,6262,2,HIPS,2,4.39,283.7
WF9 x H95,6263,1,HIPS,2,7.5,433.8
WF9 x H95,6263,2,HIPS,2,5.88,366.7
B37 x OH43,6267,1,HIPS,2,6.17,357.6
B37 x OH43,6267,2,HIPS,2,6.42,374.9
B73 x 3IIH6,6268,1,HIPS,2,6.42,328.4
B73 x 3IIH6,6268,2,HIPS,2,6.16,329
F42 x OH43,6272,1,HIPS,2,5.26,303.1
F42 x OH43,6272,2,HIPS,2,4.94,278.9
B37 x H95,6274,1,HIPS,2,7.97,411.8
B37 x H95,6274,2,HIPS,2,7.41,385
PHZ51 x LH145,6276,1,HIPS,2,5.99,344.4
PHZ51 x LH145,6276,2,HIPS,2,4.58,270.3
