Genotype ,Plot_ID,Rep,Location,Growth_Stage,Fresh_Weight,Leaf_Area,SPAD_1,SPAD_2 ,SPAD_3,SLA
PHZ51@,2268,1,SAM,2,6.25,320.9,210.1,288.9,315.2,
PHZ51@,2268,2,SAM,2,5.36,272.5,294.4,378,384.9,
B14A@,2292,1,SAM,2,7.15,340.2,303.1,457.6,455.6,
B14A@,2292,2,SAM,2,6.87,358.1,362.7,421.8,424.3,
Mo17@,2311,1,SAM,2,6.72,311.9,340.4,311.9,216.7,
Mo17@,2311,2,SAM,2,6.4,293.6,355.5,393.3,279.7,
B84@,2321,1,SAM,2,6.4,318.5,293.3,373.4,435.2,
B84@,2321,2,SAM,2,7.68,356.2,407.1,418.7,489.1,
F42@,2378,1,SAM,2,10.16,411.4,594.4,601.4,596.4,
F42@,2378,2,SAM,2,6.01,274.3,559.7,522.2,577.8,
PHJ40 x LH82,4104,1,HIPS,2,6.38,394.4,329.2,342.3,334.9,
PHJ40 x LH82,4104,2,HIPS,2,5.54,370.7,313,323.5,337.6,
2FACC x 3IIH6,4106,1,HIPS,2,7.58,372,283.4,357.3,316.1,
2FACC x 3IIH6,4106,2,HIPS,2,5.43,293.4,326.4,286.7,282.4,
B37 x OH43,4108,1,HIPS,2,7.8,546.3,274.3,431.1,387.4,
B37 x OH43,4108,2,HIPS,2,6.6,374.4,324.5,363.5,395.6,
PHK76 x 3IIH6,4111,1,HIPS,2,6.76,357,401.3,396.4,431.1,
PHK76 x 3IIH6,4111,2,HIPS,2,7.76,401.6,432.5,437.9,461.5,
PHK76 x LH82,4115,1,HIPS,2,9.01,467.2,470.1,499.6,499,
PHK76 x LH82,4115,2,HIPS,2,8.75,474.9,497.2,467.5,428.2,
PHK76 x LH145,4119,1,HIPS,2,6.53,368.6,371,369.3,378,
PHK76 x LH145,4119,2,HIPS,2,6.03,359.7,539.2,425.9,407.1,
B73 x Mo17,4122,1,HIPS,2,8.49,437.9,328.3,420.2,450.8,
B73 x Mo17,4122,2,HIPS,2,7.65,400.2,322.6,378.9,407.1,
B73 x PHZ51,4124,1,HIPS,2,7.54,418.4,162.5,316.1,389.6,
B73 x PHZ51,4124,2,HIPS,2,8.53,441.9,369.2,471.4,473.3,
WF9 x H95,4127,1,HIPS,2,7.27,405,284.5,347,346.1,
WF9 x H95,4127,2,HIPS,2,7.77,431,277.5,351.7,322.6,
F42 x Mo17,4128,1,HIPS,2,9.21,478.8,307.5,371,444.3,
F42 x Mo17,4128,2,HIPS,2,8.36,466.7,285.6,370.1,428.2,
B37 x H95,4129,1,HIPS,2,6.93,402.6,273.6,338.6,412.1,
B37 x H95,4129,2,HIPS,2,7.49,419.1,310.8,400.5,369.3,
B14A x Mo17,4131,1,HIPS,2,5.78,338.8,229.8,319.8,394,
B14A x Mo17,4131,2,HIPS,2,6.59,370.8,279.7,384.1,391,
PHZ51 x LH145,4135,1,HIPS,2,4.59,286.6,265.3,304.2,376.1,
PHZ51 x LH145,4135,2,HIPS,2,5.03,301.5,250.8,293.3,351.7,
B37 x Mo17,4154,1,HIPS,2,9.12,480.7,355.5,452.2,510.3,
B37 x Mo17,4154,2,HIPS,2,10.89,503.6,322.6,421,494.8,
LH123HT x 3IIH6,4155,1,HIPS,2,5.59,316.7,239,225.9,302.1,
LH123HT x 3IIH6,4155,2,HIPS,2,6.17,327.9,318,220.6,245.6,
B84 x 3IIH6,4158,1,HIPS,2,11.02,540.6,350.8,363.5,402.1,
B84 x 3IIH6,4158,2,HIPS,2,9.2,440.7,241.6,334.9,367.7,
B73 x 3IIH6,4159,1,HIPS,2,9.31,461.9,311.9,326.9,365.2,
B73 x 3IIH6,4159,2,HIPS,2,6.73,350.7,286.7,343.2,309.7,
F42 x OH43,4167,1,HIPS,2,9.9,526.5,364.4,437.9,460.9,
F42 x OH43,4167,2,HIPS,2,9.6,519.4,405.4,418,358.3,
PHK76 x LH145,4204,1,HIPS,2,7.7,388,358.3,395.6,408.5,
PHK76 x LH145,4204,2,HIPS,2,4.22,274.5,287.8,306.4,304.2,
PHK76 x LH82,4205,1,HIPS,2,6.4,358.6,358.3,394,273.6,
PHK76 x LH82,4205,2,HIPS,2,6.28,377.1,351.7,382.4,410.7,
B84 x 3IIH6,4216,1,HIPS,2,9.65,474.5,349.8,370.1,391.8,
B84 x 3IIH6,4216,2,HIPS,2,7.45,373.6,294.4,378,317.9,
2FACC x 3IIH6,4217,1,HIPS,2,3.27,215.2,153.3,213.4,142.3,
2FACC x 3IIH6,4217,2,HIPS,2,5.78,274.9,235,190.5,200.9,
B73 x PHZ51,4225,1,HIPS,2,,,,,,
B73 x PHZ51,4225,2,HIPS,2,,,,,,
B14A x Mo17,4234,1,HIPS,2,8.64,449.1,317,383.2,421,
B14A x Mo17,4234,2,HIPS,2,6.9,383,273.6,358.3,358.3,
B37 x Mo17,4236,1,HIPS,2,8.39,394.9,391,401.3,485.2,
B37 x Mo17,4236,2,HIPS,2,8.8,427.3,301.1,416.5,570.1,
B37 x H95,4244,1,HIPS,2,8.93,455.8,249.5,356.4,407.1,
B37 x H95,4244,2,HIPS,2,8.25,401.2,318.9,402.9,456.3,
PHZ51 x LH145,4247,1,HIPS,2,5.13,310.9,294.4,304.2,387.4,
PHZ51 x LH145,4247,2,HIPS,2,4.44,276.2,434.6,341.4,328.3,
B73 x Mo17,4256,1,HIPS,2,10.29,527.7,319.8,394.8,497.2,
B73 x Mo17,4256,2,HIPS,2,8.97,490.3,264,359.2,394.8,
LH123HT x 3IIH6,4260,1,HIPS,2,6.73,324.8,287.8,232.4,267.9,
LH123HT x 3IIH6,4260,2,HIPS,2,5.86,336.9,341.6,146.1,284.5,
B73 x 3IIH6,4267,1,HIPS,2,9.47,469.7,259.4,274.7,348,
B73 x 3IIH6,4267,2,HIPS,2,11.19,527,329.2,429.6,470.7,
F42 x OH43,4272,1,HIPS,2,9.38,453.5,372.6,435.9,366.8,
F42 x OH43,4272,2,HIPS,2,8.38,452.5,326.4,349.8,433.9,
F42 x Mo17,4273,1,HIPS,2,,,,,,
F42 x Mo17,4273,2,HIPS,2,,,,,,
B37 x OH43,4274,1,HIPS,2,7.43,411.4,303.1,235,316.1,
B37 x OH43,4274,2,HIPS,2,5.59,322.8,532.4,380.8,388.8,
PHK76 x 3IIH6,4277,1,HIPS,2,7.18,402.1,383.2,462.2,498.4,
PHK76 x 3IIH6,4277,2,HIPS,2,6.11,351.6,354.6,422.6,472,
PHJ40 x LH82,4279,1,HIPS,2,6.42,399.1,386.5,366.8,383.2,
PHJ40 x LH82,4279,2,HIPS,2,4.18,277.4,271,331.1,317.9,
WF9 x H95,4280,1,HIPS,2,9.83,528.2,278.4,358.3,414.3,
WF9 x H95,4280,2,HIPS,2,6.74,430.5,229.8,319.8,325.4,
B37 x H95,5116,1,HIPS,2,5.51,364.9,206.8,288.9,274.7,
B37 x H95,5116,2,HIPS,2,7.57,404.7,231.1,414.3,378.9,
PHZ51 x LH145,5123,1,HIPS,2,3.98,255.9,241.6,313,316.1,
PHZ51 x LH145,5123,2,HIPS,2,4.3,218.1,279.7,340.4,273.5,
WF9 x H95,5126,1,HIPS,2,7.34,423.8,233.7,338.6,321.7,
WF9 x H95,5126,2,HIPS,2,8.5,443.8,526.8,310.8,357.3,
PHK76 x LH145,5128,1,HIPS,2,8.74,438.1,427.5,457.6,493.6,
PHK76 x LH145,5128,2,HIPS,2,8.22,446.3,404.6,451.5,395.6,
PHK76 x 3IIH6,5130,1,HIPS,2,6.23,331.5,259.4,190.5,310.8,
PHK76 x 3IIH6,5130,2,HIPS,2,5.53,308.1,278.4,288.1,304.2,
F42 x Mo17,5131,1,HIPS,2,6.5,346.4,250.8,285.6,310.8,
F42 x Mo17,5131,2,HIPS,2,,,,,,
PHJ40 x LH82,5135,1,HIPS,2,5.72,348.7,356.4,379.8,400.5,
PHJ40 x LH82,5135,2,HIPS,2,5.84,345.3,333,390.3,402.9,
2FACC x 3IIH6,5144,1,HIPS,2,6.42,333.8,288.9,275.8,262,
2FACC x 3IIH6,5144,2,HIPS,2,5.78,310.5,260.6,307.5,326.4,
B73 x PHZ51,5147,1,HIPS,2,6.4,355.2,264,318.9,363.5,
B73 x PHZ51,5147,2,HIPS,2,7.05,384.1,278.4,359.2,381.6,
LH123HT x 3IIH6,5150,1,HIPS,2,8.03,392.2,215.1,252.1,328.3,
LH123HT x 3IIH6,5150,2,HIPS,2,8.17,414,326.4,336.7,309.7,
B14A x Mo17,5152,1,HIPS,2,6.11,441.3,224.7,337.6,333,
B14A x Mo17,5152,2,HIPS,2,6.79,373.4,292.2,343.2,317.9,
B37 x Mo17,5153,1,HIPS,2,5.8,334.2,301.1,298.3,335.8,
B37 x Mo17,5153,2,HIPS,2,6.18,353.1,228.5,330.1,326.4,
B73 x 3IIH6,5154,1,HIPS,2,8.06,386,331.1,380.8,343.2,
B73 x 3IIH6,5154,2,HIPS,2,6.31,309.9,306.4,365.2,326.4,
F42 x OH43,5160,1,HIPS,2,4.58,275.6,229.8,262.7,324.5,
F42 x OH43,5160,2,HIPS,2,4.51,302.2,213.4,224.6,249.9,
B84 x 3IIH6,5161,1,HIPS,2,8.81,417.5,349.8,344.2,346.1,
B84 x 3IIH6,5161,2,HIPS,2,9.31,422.8,265.3,307.5,350.8,
B37 x OH43,5162,1,HIPS,2,6.38,357.7,229.8,282.4,299.2,
B37 x OH43,5162,2,HIPS,2,6.8,375.6,257.2,282.4,252.1,
B73 x Mo17,5176,1,HIPS,2,8.66,457.6,248.2,300.2,346.1,
B73 x Mo17,5176,2,HIPS,2,10.59,499.3,320.7,274.7,375.2,
PHK76 x LH82,5182,1,HIPS,2,5.78,307.6,228.5,334.9,366,
PHK76 x LH82,5182,2,HIPS,2,5.45,304.9,215,333.9,368.5,
2FACC x 3IIH6,5201,1,HIPS,2,5.74,307.2,345.1,358.3,378.9,
2FACC x 3IIH6,5201,2,HIPS,2,6.18,302.3,352.7,335.8,397.2,
PHK76 x LH82,5206,1,HIPS,2,6.31,366.6,321.7,346.1,267.9,
PHK76 x LH82,5206,2,HIPS,2,8.83,489,306.4,366.8,348.9,
B37 x OH43,5210,1,HIPS,2,6.95,393.1,277.1,347,517.5,
B37 x OH43,5210,2,HIPS,2,7.94,415.2,261.6,343.2,369.3,
B84 x 3IIH6,5211,1,HIPS,2,9.14,437.4,427.5,346.1,390.3,
B84 x 3IIH6,5211,2,HIPS,2,9.28,535.2,253.4,237.7,254.7,
B37 x Mo17,5216,1,HIPS,2,6.6,344.8,248.2,353.6,325.4,
B37 x Mo17,5216,2,HIPS,2,7.65,386.7,260.5,388.1,394,
F42 x OH43,5220,1,HIPS,2,7.35,402.9,313,296.4,376.1,
F42 x OH43,5220,2,HIPS,2,8.73,351.2,299.2,308.6,341.4,
PHZ51 x LH145,5227,1,HIPS,2,5.48,322.7,244.3,501.6,401.3,
PHZ51 x LH145,5227,2,HIPS,2,5.9,346.6,264,364,362.7,
B14A x Mo17,5237,1,HIPS,2,9.04,452.5,195.3,267.9,354.6,
B14A x Mo17,5237,2,HIPS,2,7.3,386.1,190.5,243,305.3,
WF9 x H95,5238,1,HIPS,2,8.11,446.3,210.1,283.4,330.1,
WF9 x H95,5238,2,HIPS,2,6.88,409.8,278.4,333.9,361.9,
PHK76 x 3IIH6,5240,1,HIPS,2,6.75,366.2,366,388.8,442.1,
PHK76 x 3IIH6,5240,2,HIPS,2,5.9,330.2,278.4,310.8,348,
PHK76 x LH145,5243,1,HIPS,2,5.76,344.3,300.2,326.4,316.1,
PHK76 x LH145,5243,2,HIPS,2,4.55,295.7,224.6,235,217.3,
B73 x Mo17,5245,1,HIPS,2,8.04,428,309.7,346.1,392.5,
B73 x Mo17,5245,2,HIPS,2,10.31,419.2,266.6,296.4,319.8,
PHJ40 x LH82,5247,1,HIPS,2,,,,,,
PHJ40 x LH82,5247,2,HIPS,2,4.28,301.7,363.5,378,341.4,
LH123HT x 3IIH6,5249,1,HIPS,2,6.5,361.8,233.7,253.4,292.2,
LH123HT x 3IIH6,5249,2,HIPS,2,5.55,281.4,216.7,253.4,269.2,
B73 x 3IIH6,5261,1,HIPS,2,,,,,,
B73 x 3IIH6,5261,2,HIPS,2,9.18,445.5,227.2,241.6,319.8,
B37 x H95,5268,1,HIPS,2,5.26,313.6,265.3,310.8,336.7,
B37 x H95,5268,2,HIPS,2,8.13,430.9,262.7,360.1,348.9,
F42 x Mo17,5270,1,HIPS,2,10.58,481.9,305.3,311.9,412.1,
F42 x Mo17,5270,2,HIPS,2,6.66,364.9,267.9,322.6,398,
B73 x PHZ51,5272,1,HIPS,2,7.22,408.3,228.5,271.4,262.7,
B73 x PHZ51,5272,2,HIPS,2,7.45,399.7,235,286.7,324.5,
PHK76 x 3IIH6,6110,1,HIPS,2,4.47,268.4,388.8,402.9,442.1,
PHK76 x 3IIH6,6110,2,HIPS,2,7.01,353.6,192.1,288.9,291.1,
B73 x PHZ51,6111,1,HIPS,2,6.81,357.8,352.7,433.9,439.2,
B73 x PHZ51,6111,2,HIPS,2,7.42,392.4,393.2,441.3,495.4,
WF9 x H95,6116,1,HIPS,2,10.33,544.5,325.4,438.5,412.1,
WF9 x H95,6116,2,HIPS,2,8.82,495.9,286.7,394.8,375.2,
PHJ40 x LH82,6122,1,HIPS,2,4.88,321,346.1,330.1,367.7,
PHJ40 x LH82,6122,2,HIPS,2,6.11,364.3,389.6,362.7,375.2,
F42 x OH43,6127,1,HIPS,2,10.24,492.9,415.8,467.5,496,
F42 x OH43,6127,2,HIPS,2,7,395.8,359.2,440.6,419.4,
LH123HT x 3IIH6,6128,1,HIPS,2,8.43,396.7,267.9,317,393.2,
LH123HT x 3IIH6,6128,2,HIPS,2,8.69,406.2,314.1,403.8,468.1,
PHZ51 x LH145,6132,1,HIPS,2,5.02,296,326.4,421,408.5,
PHZ51 x LH145,6132,2,HIPS,2,6.45,362.9,340.4,395.6,417.2,
B84 x 3IIH6,6134,1,HIPS,2,6.08,326.8,261.6,362.7,325.4,
B84 x 3IIH6,6134,2,HIPS,2,8.02,417.9,368.5,439.2,445,
F42 x Mo17,6137,1,HIPS,2,,,,,,
F42 x Mo17,6137,2,HIPS,2,,,,,,
B14A x Mo17,6140,1,HIPS,2,8.23,295.4,394.8,413.6,482.6,
B14A x Mo17,6140,2,HIPS,2,8.23,429.8,306.4,412.1,371.8,
PHK76 x LH145,6143,1,HIPS,2,4.94,322.5,275.8,297.3,297.3,
PHK76 x LH145,6143,2,HIPS,2,5.27,331.4,366,456.3,464.1,
B73 x 3IIH6,6149,1,HIPS,2,5.79,313.7,297.3,336.7,363.5,
B73 x 3IIH6,6149,2,HIPS,2,9.29,421.9,307.5,334.9,402.1,
B37 x OH43,6153,1,HIPS,2,8.02,444.9,310.8,371.8,380.8,
B37 x OH43,6153,2,HIPS,2,7.28,425.9,296.4,363.5,366,
B37 x Mo17,6155,1,HIPS,2,8.38,415.7,340.4,464.2,419,
B37 x Mo17,6155,2,HIPS,2,7.27,390.6,282.4,348.9,315.2,
B37 x H95,6158,1,HIPS,2,8.63,464.9,292.2,358.3,346.1,
B37 x H95,6158,2,HIPS,2,6.75,400.9,293.3,439.9,424.3,
2FACC x 3IIH6,6159,1,HIPS,2,6.51,313.8,225.9,195.3,379.7,
2FACC x 3IIH6,6159,2,HIPS,2,5.22,267.9,297.3,262.7,260.5,
B73 x Mo17,6162,1,HIPS,2,9.62,487.5,384.9,457.6,433.3,
B73 x Mo17,6162,2,HIPS,2,9.44,492.2,378.4,488.5,502.2,
PHK76 x LH82,6170,1,HIPS,2,,,,,,
PHK76 x LH82,6170,2,HIPS,2,,,,,,
PHK76 x LH82,6174,1,HIPS,2,6.91,433.1,358.3,441.3,435.2,
PHK76 x LH82,6174,2,HIPS,2,7.41,414.3,411.4,501.6,468.1,
PHJ40 x LH82,6184,1,HIPS,2,5.55,337.1,334.9,369.3,380.8,
PHJ40 x LH82,6184,2,HIPS,2,5.13,308.7,355.5,367.7,374.3,
PHK76 x LH145,6210,1,HIPS,2,6.67,384.4,391.8,430.4,399.6,
PHK76 x LH145,6210,2,HIPS,2,5.67,351.2,316.1,314.1,347,
PHK76 x 3IIH6,6219,1,HIPS,2,7.64,414.9,426.8,472.7,509.7,
PHK76 x 3IIH6,6219,2,HIPS,2,6.33,397.5,227.2,211.7,280.4,
F42 x Mo17,6223,1,HIPS,2,7.04,404,323.5,324.5,348,
F42 x Mo17,6223,2,HIPS,2,6.66,380.1,325.4,338.6,379.8,
2FACC x 3IIH6,6226,1,HIPS,2,6.05,339.5,442.5,459.9,448.6,
2FACC x 3IIH6,6226,2,HIPS,2,8.2,398.8,285.6,231.1,215,
B73 x Mo17,6238,1,HIPS,2,8.57,466.4,297.3,346.1,380.8,
B73 x Mo17,6238,2,HIPS,2,7.16,391.7,313,356.4,392.5,
B84 x 3IIH6,6241,1,HIPS,2,5.68,144.9,188.9,239,273.6,
B84 x 3IIH6,6241,2,HIPS,2,7.83,302.5,188.8,306.4,270.3,
B73 x PHZ51,6247,1,HIPS,2,7,388.6,241.6,250.8,262.7,
B73 x PHZ51,6247,2,HIPS,2,5.62,327.6,302.1,364.4,421.8,
LH123HT x 3IIH6,6255,1,HIPS,2,4.42,325.1,127,151.1,118.2,
LH123HT x 3IIH6,6255,2,HIPS,2,4.39,248.8,87.6,135.7,120.4,
B14A x Mo17,6261,1,HIPS,2,6.25,363.7,245.6,305.3,351.7,
B14A x Mo17,6261,2,HIPS,2,5.67,325.6,304.2,525.9,504.6,
B37 x Mo17,6262,1,HIPS,2,6.41,360.9,213.4,281,282.4,
B37 x Mo17,6262,2,HIPS,2,4.39,283.7,164.2,237.7,260.5,
WF9 x H95,6263,1,HIPS,2,7.5,433.8,183.9,368.5,357.3,
WF9 x H95,6263,2,HIPS,2,5.88,366.7,265.3,282.4,347,
B37 x OH43,6267,1,HIPS,2,6.17,357.6,262.7,313,353.6,
B37 x OH43,6267,2,HIPS,2,6.42,374.9,265.3,331.1,321.7,
B73 x 3IIH6,6268,1,HIPS,2,6.42,328.4,330.1,338.6,306.4,
B73 x 3IIH6,6268,2,HIPS,2,6.16,329,237.7,358.3,304.2,
F42 x OH43,6272,1,HIPS,2,5.26,303.1,300.2,307.5,331.1,
F42 x OH43,6272,2,HIPS,2,4.94,278.9,211.7,239,286.7,
B37 x H95,6274,1,HIPS,2,7.97,411.8,210.1,333.9,378.9,
B37 x H95,6274,2,HIPS,2,7.41,385,232.4,335.8,365.2,
PHZ51 x LH145,6276,1,HIPS,2,5.99,344.4,299.2,358.3,354.6,
PHZ51 x LH145,6276,2,HIPS,2,4.58,270.3,211.7,274.7,264,
